name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,,planet_type,temp_planet_date,temp_planet_mass,planet_radius,orbital_radius,orbital_period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rowupdate
CoRoT-24 c,1957,28 Earths,15.18,2014,,Neptune-like,2014,28 Earths,0.44 x Jupiter,0.098 AU,11.8 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31-05-2018
CoRoT-25 b,3262,0.27 Jupiters,14.711,2013,,Gas Giant,2013,0.27 Jupiters,1.08 x Jupiter,0.0578 AU,4.9 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11-06-2014
CoRoT-26 b,5448,0.52 Jupiters,15.468,2013,,Gas Giant,2013,0.52 Jupiters,1.26 x Jupiter,0.0526 AU,4.2 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
CoRoT-27 b,3377,10.39 Jupiters,15.54,2014,,Gas Giant,2014,10.39 Jupiters,1.007 x Jupiter,0.0476 AU,3.6 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
CoRoT-28 b,1827,0.484 Jupiters,13.412,2015,,Gas Giant,2015,0.484 Jupiters,0.955 x Jupiter,0.0603 AU,5.2 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
CoRoT-29 b,2495,0.85 Jupiters,15.239,2015,,Gas Giant,2015,0.85 Jupiters,0.9 x Jupiter,0.0386 AU,2.9 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16-04-2015
CoRoT-2 b,652,3.47 Jupiters,12.57,2008,,Gas Giant,2008,3.47 Jupiters,1.466 x Jupiter,0.02798 AU,1.7 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16-04-2015
CoRoT-30 b,3132,2.9 Jupiters,15.65,2020,,Gas Giant,2020,2.9 Jupiters,1.009 x Jupiter,0.0844 AU,9.1 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
CoRoT-31 b,7144,0.84 Jupiters,15.465,2020,,Gas Giant,2020,0.84 Jupiters,1.46 x Jupiter,0.0586 AU,4.6 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16-04-2020
CoRoT-3 b,2218,21.66 Jupiters,13.292,2008,,Gas Giant,2008,21.66 Jupiters,1.01 x Jupiter,0.05783 AU,4.3 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16-04-2020
CoRoT-4 b,2419,0.72 Jupiters,13.561,2008,,Gas Giant,2008,0.72 Jupiters,1.19 x Jupiter,0.09 AU,9.2 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
CoRoT-5 b,2951,0.467 Jupiters,13.902,2009,,Gas Giant,2009,0.467 Jupiters,1.388 x Jupiter,0.04947 AU,4 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
CoRoT-6 b,2144,2.96 Jupiters,13.912,2009,,Gas Giant,2009,2.96 Jupiters,1.166 x Jupiter,0.0855 AU,8.9 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
CoRoT-7 b,524,3.1783 Earths,11.668,2009,,Super Earth,2009,3.1783 Earths,1.681 x Earth,0.017016 AU,0.9 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06-12-2018
CoRoT-7 c,524,8.4 Earths,11.668,2009,,Neptune-like,2009,8.4 Earths,0.253 x Jupiter,0.046 AU,3.7 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-09-2015
CoRoT-8 b,1240,0.22 Jupiters,14.8,2010,,Gas Giant,2010,0.22 Jupiters,0.57 x Jupiter,0.063 AU,6.2 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
CoRoT-9 b,1363,0.84 Jupiters,13.69,2009,,Gas Giant,2009,0.84 Jupiters,1.066 x Jupiter,0.4021 AU,95.3 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-12-2017
CoRoTID 223977153 b,1912,0.15 Jupiters,13.587,2017,,Gas Giant,2017,0.15 Jupiters,0.57 x Jupiter,0.071 AU,6.7 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15-09-2017
CT Chamaleontis b,538,17 Jupiters,11.773,2007,,Gas Giant,2007,17 Jupiters,2.2 x Jupiter,440.0 AU,Infinity years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
DE Canun Venaticorum b,100,12.0293 Jupiters,11.975,2018,,Gas Giant,2018,12.0293 Jupiters,1.1 x Jupiter,5.75 AU,11.2 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11-07-2019
DENIS-P J082303.1-491201 b,68,28.5 Jupiters,18.558,2013,,Gas Giant,2013,28.5 Jupiters,1.06 x Jupiter,0.36 AU,246.4 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
DH Tauri b,457,11 Jupiters,12.496,2004,,Gas Giant,2004,11 Jupiters,2.7 x Jupiter,330.0 AU,10441.5 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
DMPP-1 b,202,24.27 Earths,7.981,2019,,Neptune-like,2019,24.27 Earths,0.472 x Jupiter,0.1462 AU,18.6 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30-01-2020
DMPP-1 c,202,9.6 Earths,7.981,2019,,Neptune-like,2019,9.6 Earths,0.273 x Jupiter,0.0733 AU,6.6 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30-01-2020
DMPP-1 d,202,3.35 Earths,7.981,2019,,Super Earth,2019,3.35 Earths,1.65 x Earth,0.0422 AU,2.9 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30-01-2020
DMPP-1 e,202,4.13 Earths,7.981,2019,,Super Earth,2019,4.13 Earths,1.86 x Earth,0.0651 AU,5.5 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30-01-2020
DMPP-2 b,437,0.437 Jupiters,8.567,2019,,Gas Giant,2019,0.437 Jupiters,1.28 x Jupiter,0.0664 AU,5.2 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30-01-2020
DMPP-3 A b,160,2.58 Earths,9.066,2019,,Super Earth,2019,2.58 Earths,1.41 x Earth,0.0662 AU,6.7 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30-01-2020
DP Leonis b,995,6.28 Jupiters,18.633,2009,,Gas Giant,2009,6.28 Jupiters,1.14 x Jupiter,8.19 AU,28 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
DS Tucanae A b,144,1.3 Jupiters,8.469,2019,,Neptune-like,2019,1.3 Jupiters,0.509 x Jupiter,Unknown,8.1 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11-07-2019
EPIC 201238110 b,522,4.16 Earths,15.261,2019,,Super Earth,2019,4.16 Earths,1.87 x Earth,Unknown,28.2 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13-06-2019
EPIC 201497682 b,831,0.26 Earths,14.102,2019,,Terrestrial,2019,0.26 Earths,0.692 x Earth,Unknown,2.1 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13-06-2019
EPIC 201615463 c,1569,1.98 Earths,12.074,2019,,Super Earth,2019,1.98 Earths,1.22 x Earth,Unknown,3.8 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13-06-2019
EPIC 201754305 d,1103,1.08 Earths,14.67,2019,,Super Earth,2019,1.08 Earths,1.03 x Earth,Unknown,2.7 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13-06-2019
EPIC 201833600 c,846,0.972 Earths,14.717,2019,,Terrestrial,2019,0.972 Earths,1.0 x Earth,Unknown,4 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13-06-2019
EPIC 201841433 b,1442,1.37 Earths,14.867,2019,,Super Earth,2019,1.37 Earths,1.1 x Earth,Unknown,4.2 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13-06-2019
EPIC 205950854 c,801,2.27 Earths,12.291,2019,,Super Earth,2019,2.27 Earths,1.31 x Earth,Unknown,8.1 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15-08-2019
EPIC 206024342 b,1219,3.53 Earths,13.116,2019,,Super Earth,2019,3.53 Earths,1.7 x Earth,Unknown,4.5 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13-06-2019
EPIC 206032309 b,529,1.01 Earths,16.069,2019,,Super Earth,2019,1.01 Earths,1.01 x Earth,Unknown,2.9 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13-06-2019
EPIC 206042996 b,1492,3.26 Earths,16.743,2019,,Super Earth,2019,3.26 Earths,1.62 x Earth,Unknown,5.3 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13-06-2019
EPIC 206215704 b,360,0.666 Earths,16.172,2019,,Terrestrial,2019,0.666 Earths,0.9 x Earth,Unknown,2.3 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13-06-2019
EPIC 206317286 b,1035,0.84 Earths,14.051,2019,,Terrestrial,2019,0.84 Earths,0.96 x Earth,Unknown,1.6 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13-06-2019
EPIC 211822797 b,611,4.58 Earths,15.256,2016,,Super Earth,2016,4.58 Earths,1.98 x Earth,0.131 AU,21.2 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26-10-2017
EPIC 211945201 b,596,27 Earths,10.154,2018,,Neptune-like,2018,27 Earths,0.514 x Jupiter,0.1493 AU,19.5 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26-10-2018
EPIC 212297394 b,1381,2.31 Earths,14.423,2019,,Super Earth,2019,2.31 Earths,1.323 x Earth,Unknown,2.3 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13-06-2019
EPIC 212424622 b,2031,5.35 Earths,13.354,2019,,Neptune-like,2019,5.35 Earths,2.17 x Earth,Unknown,18.1 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13-06-2019
EPIC 212499991 b,932,3.19 Earths,13.552,2019,,Super Earth,2019,3.19 Earths,1.6 x Earth,Unknown,34.9 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13-06-2019
EPIC 212587672 b,1053,1.46 Earths,12.487,2019,,Super Earth,2019,1.46 Earths,1.12 x Earth,Unknown,15.3 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13-06-2019
EPIC 212737443 b,1133,7.2 Earths,14.836,2019,,Neptune-like,2019,7.2 Earths,0.231 x Jupiter,0.098 AU,13.6 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-07-2019
EPIC 212737443 c,1133,7.7 Earths,14.836,2019,,Neptune-like,2019,7.7 Earths,0.24 x Jupiter,0.28 AU,65.6 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-07-2019
EPIC 220554210 c,1638,2.79 Earths,14.042,2019,,Super Earth,2019,2.79 Earths,1.48 x Earth,Unknown,0.7 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13-06-2019
EPIC 220674823 b,803,7.72 Earths,12.102,2016,,Super Earth,2016,7.72 Earths,1.82 x Earth,0.0134 AU,0.6 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26-10-2018
EPIC 220674823 c,803,5.8 Earths,12.102,2016,,Neptune-like,2016,5.8 Earths,0.244 x Jupiter,0.1091 AU,13.3 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26-10-2018
EPIC 246851721 b,1098,3 Jupiters,11.439,2018,,Gas Giant,2018,3 Jupiters,1.051 x Jupiter,0.07229 AU,6.2 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26-10-2018
EPIC 248847494 b,1827,13 Jupiters,12.416,2018,,Gas Giant,2018,13 Jupiters,1.11 x Jupiter,4.5 AU,10 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-07-2019
EPIC 249893012 b,1058,8.75 Earths,11.428,2020,,Super Earth,2020,8.75 Earths,1.95 x Earth,0.047 AU,3.6 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13-02-2020
EPIC 249893012 c,1058,14.67 Earths,11.428,2020,,Neptune-like,2020,14.67 Earths,0.327 x Jupiter,0.13 AU,15.6 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13-02-2020
EPIC 249893012 d,1058,10.18 Earths,11.428,2020,,Neptune-like,2020,10.18 Earths,0.352 x Jupiter,0.22 AU,35.7 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13-02-2020
Epsilon Coronae Borealis b,228,6.7 Jupiters,4.15,2012,,Gas Giant,2012,6.7 Jupiters,1.13 x Jupiter,1.3 AU,417.9 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-09-2015
Epsilon Eridani b,11,0.78 Jupiters,3.82,2000,,Gas Giant,2000,0.78 Jupiters,1.24 x Jupiter,3.39 AU,7.4 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03-09-2020
Epsilon Indi A b,12,3.25 Jupiters,4.69,2019,,Gas Giant,2019,3.25 Jupiters,1.17 x Jupiter,11.55 AU,45.2 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24-10-2019
Epsilon Tauri b,161,7.6 Jupiters,3.54,2006,,Gas Giant,2006,7.6 Jupiters,1.13 x Jupiter,1.93 AU,1.6 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31-01-2019
FU Tauri b,457,16 Jupiters,20.48,2008,,Gas Giant,2008,16 Jupiters,1.09 x Jupiter,800.0 AU,101250.8 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-03-2016
G 9-40 b,91,4.76 Earths,13.823,2019,,Super Earth,2019,4.76 Earths,2.025 x Earth,0.0385 AU,5.7 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16-01-2020
Gamma 1 Leonis b,126,8.78 Jupiters,1.98,2009,,Gas Giant,2009,8.78 Jupiters,1.12 x Jupiter,1.19 AU,428.5 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31-01-2019
Gamma Cephei b,44,1.85 Jupiters,3.21,2003,,Gas Giant,2003,1.85 Jupiters,1.2 x Jupiter,2.05 AU,2.5 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27-08-2014
Gamma Librae b,155,1.02 Jupiters,3.91,2018,,Gas Giant,2018,1.02 Jupiters,1.23 x Jupiter,1.24 AU,415.2 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26-04-2018
Gamma Librae c,155,4.58 Jupiters,3.91,2018,,Gas Giant,2018,4.58 Jupiters,1.15 x Jupiter,2.17 AU,2.6 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26-04-2018
GJ 1061 b,12,1.37 Earths,13.06,2020,,Super Earth,2020,1.37 Earths,1.1 x Earth,0.021 AU,3.2 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27-02-2020
GJ 1061 c,12,1.74 Earths,13.06,2020,,Super Earth,2020,1.74 Earths,1.18 x Earth,0.035 AU,6.7 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27-02-2020
GJ 1061 d,12,1.64 Earths,13.06,2020,,Super Earth,2020,1.64 Earths,1.16 x Earth,0.054 AU,13 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27-02-2020
GJ 1132 b,41,1.66 Earths,13.49,2015,,Super Earth,2015,1.66 Earths,1.13 x Earth,0.0153 AU,1.6 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-06-2020
GJ 1132 c,41,2.64 Earths,13.49,2018,,Super Earth,2018,2.64 Earths,1.43 x Earth,0.0476 AU,8.9 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21-06-2018
GJ 1148 b,36,0.30425 Jupiters,11.92,2010,,Gas Giant,2010,0.30425 Jupiters,1.07 x Jupiter,0.166 AU,41.4 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19-10-2017
GJ 1148 c,36,0.21414 Jupiters,11.92,2017,,Gas Giant,2017,0.21414 Jupiters,0.866 x Jupiter,0.912 AU,1.5 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19-10-2017
GJ 1214 b,48,6.26125 Earths,15.1,2009,,Neptune-like,2009,6.26125 Earths,0.254 x Jupiter,0.01411 AU,1.6 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03-12-2015
GJ 1252 b,66,2.09 Earths,12.193,2020,,Super Earth,2020,2.09 Earths,1.193 x Earth,0.00916 AU,0.5 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13-02-2020
GJ 1265 b,33,7.4 Earths,13.57,2018,,Neptune-like,2018,7.4 Earths,0.234 x Jupiter,0.026 AU,3.7 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06-12-2018
GJ 143 b,53,22.7 Earths,7.87,2019,,Neptune-like,2019,22.7 Earths,0.233 x Jupiter,0.1915 AU,35.6 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25-04-2019
GJ 15 A b,12,3.03 Earths,8.08,2014,,Super Earth,2014,3.03 Earths,1.55 x Earth,0.072 AU,11.4 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-10-2019
GJ 15 A c,12,36 Earths,8.08,2018,,Neptune-like,2018,36 Earths,0.595 x Jupiter,5.4 AU,20.8 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-10-2019
GJ 160.2 b,84,10.2 Earths,9.68,2014,,Neptune-like,2014,10.2 Earths,0.283 x Jupiter,0.053 AU,5.2 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-10-2019
GJ 163 b,49,10.6 Earths,11.81,2013,,Neptune-like,2013,10.6 Earths,0.29 x Jupiter,0.0607 AU,8.6 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26-01-2017
GJ 163 c,49,6.8 Earths,11.81,2013,,Neptune-like,2013,6.8 Earths,0.223 x Jupiter,0.1254 AU,25.6 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26-01-2017
GJ 163 d,49,29.4 Earths,11.81,2013,,Neptune-like,2013,29.4 Earths,0.528 x Jupiter,1.0304 AU,1.7 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26-01-2017
GJ 179 b,40,0.82 Jupiters,12,2009,,Gas Giant,2009,0.82 Jupiters,1.24 x Jupiter,2.41 AU,6.3 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
GJ 180 b,39,6.49 Earths,10.91,2014,,Neptune-like,2014,6.49 Earths,0.217 x Jupiter,0.092 AU,17.1 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13-02-2020
GJ 180 c,39,6.4 Earths,10.91,2014,,Neptune-like,2014,6.4 Earths,0.215 x Jupiter,0.129 AU,24.3 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-10-2019
GJ 180 d,39,7.56 Earths,10.91,2020,,Neptune-like,2020,7.56 Earths,0.237 x Jupiter,0.309 AU,106.3 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13-02-2020
GJ 2056 b,93,16.2 Earths,10.37,2020,,Neptune-like,2020,16.2 Earths,0.372 x Jupiter,0.283 AU,70 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03-09-2020
GJ 229 A c,19,7.268 Earths,8.14,2020,,Neptune-like,2020,7.268 Earths,0.232 x Jupiter,0.339 AU,122 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13-02-2020
GJ 229 b,19,8.478 Earths,8.14,2014,,Neptune-like,2014,8.478 Earths,0.254 x Jupiter,0.898 AU,1.4 years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13-02-2020
GJ 27.1 b,77,13 Earths,11.42,2014,,Neptune-like,2014,13 Earths,0.327 x Jupiter,0.101 AU,15.8 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-10-2019
